Ano,T en C°,T en K°,T_Teo_K,T_exp_C,Diff,T_exp_corr
1975,8.744833333,281.8948333,282.351,9.201,0.456166667,8.412530488
1976,8.34725,281.49725,282.385,9.235,0.88775,8.446530488
1977,8.85025,282.00025,282.42,9.27,0.41975,8.481530488
1978,8.69275,281.84275,282.455,9.305,0.61225,8.516530488
1979,8.733416667,281.8834167,282.49,9.34,0.606583333,8.551530488
1980,8.980333333,282.1303333,282.526,9.376,0.395666667,8.587530488
1981,9.165833333,282.3158333,282.562,9.412,0.246166667,8.623530488
1982,8.639166667,281.7891667,282.598,9.448,0.808833333,8.659530488
1983,9.028166667,282.1781667,282.635,9.485,0.456833333,8.696530488
1984,8.691833333,281.8418333,282.672,9.522,0.830166667,8.733530488
1985,8.658,281.808,282.709,9.559,0.901,8.770530488
1986,8.833583333,281.9835833,282.747,9.597,0.763416667,8.808530488
1987,8.994416667,282.1444167,282.785,9.635,0.640583333,8.846530488
1988,9.201583333,282.3515833,282.823,9.673,0.471416667,8.884530488
1989,8.922,282.072,282.862,9.712,0.79,8.923530488
1990,9.234166667,282.3841667,282.901,9.751,0.516833333,8.962530488
1991,9.179416667,282.3294167,282.941,9.791,0.611583333,9.002530488
1992,8.836583333,281.9865833,282.981,9.831,0.994416667,9.042530488
1993,8.866583333,282.0165833,283.021,9.871,1.004416667,9.082530488
1994,9.03875,282.18875,283.061,9.911,0.87225,9.122530488
1995,9.347083333,282.4970833,283.102,9.952,0.604916667,9.163530488
1996,9.038916667,282.1889167,283.144,9.994,0.955083333,9.205530488
1997,9.202583333,282.3525833,283.186,10.036,0.833416667,9.247530488
1998,9.522666667,282.6726667,283.228,10.078,0.555333333,9.289530488
1999,9.285083333,282.4350833,283.27,10.12,0.834916667,9.331530488
2000,9.201166667,282.3511667,283.313,10.163,0.961833333,9.374530488
2001,9.414583333,282.5645833,283.323,10.173,0.758416667,9.384530488
2002,9.570416667,282.7204167,283.401,10.251,0.680583333,9.462530488
2003,9.525583333,282.6755833,283.445,10.295,0.769416667,9.506530488
2004,9.324583333,282.4745833,283.327,10.177,0.852416667,9.388530488
2005,9.700916667,282.8509167,283.535,10.385,0.684083333,9.596530488
2006,9.5325,282.6825,283.58,10.43,0.8975,9.641530488
2007,9.732166667,282.8821667,283.674,10.524,0.791833333,9.735530488
2008,9.43175,282.58175,283.674,10.524,1.09225,9.735530488
2009,9.50525,282.65525,283.72,10.57,1.06475,9.781530488
2010,9.703083333,282.8530833,283.768,10.618,0.914916667,9.829530488
2011,9.516,282.666,283.816,10.666,1.15,9.877530488
2012,9.507333333,282.6573333,283.865,10.715,1.207666667,9.926530488
2013,9.6065,282.7565,283.913,10.763,1.1565,9.974530488
2014,9.570666667,282.7206667,283.964,10.814,1.243333333,10.02553049
2015,9.831,282.981,284.013,10.863,1.032,10.07453049
